Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
140;30086;"Journal of Social and Personal Relationships";journal;"02654075";"SAGE Publications Ltd";No;No;1,091;Q1;108;174;542;9950;1568;541;2,54;57,18;65,85;7;40;United Kingdom;Western Europe;"SAGE Publications Ltd";"1984-2025";"Communication (Q1); Developmental and Educational Psychology (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
141;24733;"American Behavioral Scientist";journal;"15523381, 00027642";"SAGE Publications Inc.";No;No;1,088;Q1;139;128;343;5916;1193;322;3,73;46,22;56,25;12;66;United States;Northern America;"SAGE Publications Inc.";"1957-2025";"Cultural Studies (Q1); Education (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
142;26124;"Ethnic and Racial Studies";journal;"01419870, 14664356";"Routledge";No;No;1,076;Q1;125;176;512;8910;1452;479;2,49;50,63;53,67;20;74;United Kingdom;Western Europe;"Routledge";"1978-2025";"Anthropology (Q1); Cultural Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
143;21100889857;"Journal of Benefit-Cost Analysis";journal;"21522812, 21945888";"Cambridge University Press";No;No;1,072;Q1;17;20;71;862;220;68;3,38;43,10;36,07;10;13;United Kingdom;Western Europe;"Cambridge University Press";"2011, 2018-2025";"Economics and Econometrics (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
144;27944;"Review of International Studies";journal;"14699044, 02602105";"Cambridge University Press";No;No;1,070;Q1;92;46;128;3169;418;125;3,01;68,89;52,11;0;13;United Kingdom;Western Europe;"Cambridge University Press";"1976, 1981-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
145;19774;"International Journal of Public Opinion Research";journal;"14716909, 09542892";"Oxford University Press";No;No;1,058;Q1;69;44;152;2276;281;152;1,75;51,73;31,82;7;16;United Kingdom;Western Europe;"Oxford University Press";"1989-2024";"Sociology and Political Science (Q1)";"Social Sciences"
146;20499;"Canadian Public Policy/ Analyse de Politiques";journal;"03170861";"University of Toronto Press";No;No;1,054;Q1;43;44;113;1946;340;113;3,59;44,23;40,20;10;23;Canada;Northern America;"University of Toronto Press";"1978-1980, 1984, 1989-2024";"Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
147;18405;"Educational Technology and Society";journal;"11763647, 14364522";"International Forum of Educational Technology and Society,National Taiwan Normal University";Yes;Yes;1,049;Q1;117;44;128;2081;590;126;4,63;47,30;47,54;0;17;Taiwan;Asiatic Region;"International Forum of Educational Technology and Society,National Taiwan Normal University";"1998-2025";"Education (Q1); E-learning (Q1); Engineering (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Engineering; Social Sciences"
148;21100385960;"American Journal of Cultural Sociology";journal;"20497121, 20497113";"Springer International Publishing AG";No;No;1,045;Q1;27;28;64;2496;204;58;4,17;89,14;52,78;1;3;Switzerland;Western Europe;"Springer International Publishing AG";"2013-2025";"Sociology and Political Science (Q1)";"Social Sciences"
149;13854;"Housing Studies";journal;"14661810, 02673037";"Routledge";No;No;1,043;Q1;95;106;226;7197;780;222;3,51;67,90;50,42;36;86;United Kingdom;Western Europe;"Routledge";"1986-2025";"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
150;13344;"Social Psychology of Education";journal;"15731928, 13812890";"Springer Netherlands";No;No;1,042;Q1;70;61;205;4782;671;205;2,79;78,39;72,09;4;26;Netherlands;Western Europe;"Springer Netherlands";"1996-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
151;147231;"International Review for the Sociology of Sport";journal;"10126902";"SAGE Publications Ltd";No;No;1,035;Q1;76;67;178;4111;648;178;3,62;61,36;44,30;4;29;United Kingdom;Western Europe;"SAGE Publications Ltd";"1966-2002, 2004-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Sports Science (Q2)";"Health Professions; Social Sciences"
152;15081;"Agriculture and Human Values";journal;"15728366, 0889048X";"Springer Science and Business Media B.V.";No;No;1,035;-;99;95;281;7486;1150;210;3,78;78,80;58,24;32;79;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1984-2025";"Agronomy and Crop Science (Q1)";"Agricultural and Biological Sciences"
153;5700165635;"Journal of Elections, Public Opinion and Parties";journal;"17457289";"Routledge";No;No;1,027;Q1;38;50;114;2493;251;99;2,06;49,86;36,84;10;14;United States;Northern America;"Routledge";"2010-2025";"Sociology and Political Science (Q1)";"Social Sciences"
154;5800169479;"Representation";journal;"17494001, 00344893";"Taylor and Francis Ltd.";No;No;1,025;Q1;32;37;95;1932;146;83;1,38;52,22;45,10;7;15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1960-1986, 1988-2025";"Sociology and Political Science (Q1)";"Social Sciences"
155;28894;"Journal of Leisure Research";journal;"00222216";"Taylor and Francis Ltd.";No;No;1,021;Q1;85;46;99;2661;318;86;3,19;57,85;50,00;0;10;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1978-1989, 1991, 1996-2016, 2018-2025";"Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Environmental Science; Social Sciences"
156;17508;"Social Development";journal;"14679507, 0961205X";"Wiley-Blackwell Publishing Ltd";No;No;0,999;Q1;114;75;195;4655;497;195;2,35;62,07;69,64;1;9;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1992-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2)";"Psychology; Social Sciences"
157;5700162683;"Globalizations";journal;"1474774X, 14747731";"Taylor and Francis Ltd.";No;No;0,997;Q1;59;107;299;7249;841;291;2,84;67,75;44,00;11;56;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2004-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
158;15807;"International Review of Administrative Sciences";journal;"00208523, 14617226";"SAGE Publications Ltd";No;No;0,993;Q1;74;69;148;3377;527;144;3,29;48,94;44,17;15;28;United Kingdom;Western Europe;"SAGE Publications Ltd";"1957-2025";"Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
159;19700170417;"Journal of Information Technology and Politics";journal;"19331681, 1933169X";"Routledge";No;No;0,992;Q1;54;30;84;1605;303;80;3,36;53,50;37,84;6;9;United States;Northern America;"Routledge";"2008-2025";"Computer Science (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Computer Science; Social Sciences"
160;23439;"Politics and Society";journal;"00323292, 15527514";"SAGE Publications Inc.";No;No;0,986;Q1;84;21;66;0;203;65;2,20;0,00;36,84;7;13;United States;Northern America;"SAGE Publications Inc.";"1970-1990, 1992-2024";"Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
161;21100886407;"European Policy Analysis";journal;"23806567";"John Wiley and Sons Ltd";No;No;0,985;-;25;27;68;1491;313;59;5,35;55,22;33,33;3;13;United States;Northern America;"John Wiley and Sons Ltd";"2015-2025";"Health Policy (Q1); Management, Monitoring, Policy and Law (Q1); Public Administration (Q1)";"Environmental Science; Medicine; Social Sciences"
162;19391;"Social Indicators Research";journal;"03038300, 15730921";"Springer Netherlands";No;No;0,984;Q1;147;303;833;17563;3140;822;3,37;57,96;44,36;76;199;Netherlands;Western Europe;"Springer Netherlands";"1974-2025";"Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2)";"Arts and Humanities; Psychology; Social Sciences"
163;13936;"Journal of Urban Affairs";journal;"07352166, 14679906";"Taylor and Francis Ltd.";No;No;0,980;Q1;76;66;212;4763;570;198;2,06;72,17;50,36;5;51;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1979-2025";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
164;24482;"Children and Youth Services Review";journal;"01907409";"Elsevier Ltd";No;No;0,974;Q1;123;305;1915;19488;6220;1887;3,26;63,90;65,68;37;205;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2025";"Education (Q1); Social Work (Q1); Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2)";"Psychology; Social Sciences"
165;26459;"Latin American Politics and Society";journal;"15482456, 1531426X";"Cambridge University Press";No;No;0,971;Q1;56;34;81;1728;167;79;1,89;50,82;38,10;6;16;United States;Northern America;"Cambridge University Press";"2001-2025";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
166;17591;"Law and Society Review";journal;"00239216, 15405893";"Cambridge University Press";No;No;0,970;Q1;92;26;93;2085;198;83;1,80;80,19;56,52;2;10;United Kingdom;Western Europe;"Cambridge University Press";"1977-1979, 1983, 1985, 1987, 1996-2024";"Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
167;22087;"Theoretical Criminology";journal;"14617439, 13624806";"SAGE Publications Ltd";No;No;0,965;Q1;93;33;96;2487;279;91;2,87;75,36;46,67;5;20;United Kingdom;Western Europe;"SAGE Publications Ltd";"1997-2025";"Law (Q1); Pathology and Forensic Medicine (Q1); Sociology and Political Science (Q1)";"Medicine; Social Sciences"
168;21100972443;"Chinese Political Science Review";journal;"23654252, 23654244";"Springer International Publishing";No;No;0,961;Q1;21;21;71;1362;180;69;3,06;64,86;27,59;0;5;Singapore;Asiatic Region;"Springer International Publishing";"2016-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
169;21100901140;"Journal of Innovation and Entrepreneurship";journal;"21925372";"SpringerOpen";Yes;No;0,958;Q1;42;68;89;3990;532;88;5,89;58,68;36,24;7;37;Germany;Western Europe;"SpringerOpen";"2014-2015, 2017-2025";"Information Systems (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance; Social Sciences"
170;24734;"American Journal of Evaluation";journal;"10982140";"SAGE Publications Inc.";No;No;0,956;Q1;71;43;100;1495;272;96;2,71;34,77;68,85;3;8;United States;Northern America;"SAGE Publications Inc.";"1981-2025";"Business and International Management (Q1); Education (Q1); Health (social science) (Q1); Social Psychology (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
171;24829;"Journal of Political Philosophy";journal;"14679760, 09638016";"Wiley-Blackwell Publishing Ltd";No;No;0,952;Q1;80;24;72;794;123;68;1,85;33,08;29,63;6;1;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1993-2023";"Philosophy (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
172;144821;"Language Policy";journal;"15684555";"Springer Netherlands";No;No;0,952;Q1;47;28;78;1538;196;74;1,98;54,93;60,87;2;7;Netherlands;Western Europe;"Springer Netherlands";"2002-2025";"Linguistics and Language (Q1); Sociology and Political Science (Q1)";"Social Sciences"
173;18102;"Sociological Perspectives";journal;"07311214, 15338673";"SAGE Publications Inc.";No;No;0,952;Q1;74;56;161;4084;414;156;2,59;72,93;46,36;5;39;United States;Northern America;"SAGE Publications Inc.";"1958-2024";"Sociology and Political Science (Q1)";"Social Sciences"
174;25833;"International Political Science Review";journal;"01925121, 1460373X";"SAGE Publications Ltd";No;No;0,951;Q1;72;44;135;2008;357;131;2,33;45,64;37,35;17;24;United Kingdom;Western Europe;"SAGE Publications Ltd";"1980-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
175;5700181569;"Journal of Gambling Studies";journal;"10505350, 15733602";"Springer International Publishing AG";No;No;0,951;Q1;92;84;241;4478;744;241;2,79;53,31;46,71;17;14;United States;Northern America;"Springer International Publishing AG";"1990-2025";"Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
176;18084;"Sociological Forum";journal;"15737861, 08848971";"Wiley-Blackwell";No;No;0,948;Q1;75;63;209;4379;402;207;1,63;69,51;40,00;2;24;United States;Northern America;"Wiley-Blackwell";"1986-2025";"Sociology and Political Science (Q1)";"Social Sciences"
177;15528;"Annals of the American Academy of Political and Social Science";journal;"15523349, 00027162";"SAGE Publications Inc.";No;No;0,943;Q1;131;84;254;4748;812;242;2,73;56,52;47,95;24;56;United States;Northern America;"SAGE Publications Inc.";"1890-2024";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
178;11600154613;"Environmental Hazards";journal;"17477891, 18780059";"Taylor and Francis Ltd.";No;No;0,943;Q1;64;23;88;1244;386;83;4,97;54,09;37,68;2;21;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983, 1999-2003, 2005, 2007, 2009-2025";"Development (Q1); Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1); Global and Planetary Change (Q2)";"Environmental Science; Social Sciences"
179;15300154806;"Dementia";journal;"17412684, 14713012";"SAGE Publications Ltd";No;No;0,942;Q1;70;141;554;7448;1683;546;2,65;52,82;74,89;12;21;United Kingdom;Western Europe;"SAGE Publications Ltd";"2002-2025";"History (Q1); Medicine (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Medicine; Social Sciences"
180;15564;"Journal of Language and Social Psychology";journal;"15526526, 0261927X";"SAGE Publications Inc.";No;No;0,937;Q1;68;34;117;2098;346;115;2,62;61,71;56,57;0;14;United States;Northern America;"SAGE Publications Inc.";"1982-2025";"Anthropology (Q1); Education (Q1); Linguistics and Language (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
181;14573;"Social Policy and Administration";journal;"01445596, 14679515";"Wiley-Blackwell Publishing Ltd";No;No;0,937;Q1;79;73;234;3800;837;231;3,98;52,05;47,06;26;53;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1967-2025";"Development (Q1); Public Administration (Q1); Social Work (Q1); Sociology and Political Science (Q1)";"Social Sciences"
182;19700187619;"International Journal of Strategic Communication";journal;"1553118X, 15531198";"Routledge";No;No;0,932;Q1;39;40;72;2908;345;71;2,55;72,70;55,77;0;12;United States;Northern America;"Routledge";"2009-2025";"Communication (Q1); Sociology and Political Science (Q1)";"Social Sciences"
183;28011;"Security Studies";journal;"15561852, 09636412";"Routledge";No;No;0,931;Q1;64;35;96;0;194;95;1,30;0,00;22,22;11;7;United Kingdom;Western Europe;"Routledge";"1991-2024";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
184;23144;"Language in Society";journal;"14698013, 00474045";"Cambridge University Press";No;No;0,926;Q1;78;26;82;1493;216;80;1,64;57,42;62,07;0;5;United Kingdom;Western Europe;"Cambridge University Press";"1972-2025";"Linguistics and Language (Q1); Sociology and Political Science (Q1)";"Social Sciences"
185;20848;"Health and Social Care in the Community";journal;"09660410, 13652524";"John Wiley and Sons Ltd";No;No;0,923;Q1;85;795;668;39089;2288;668;3,03;49,17;67,26;130;388;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1993-2024";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1); Sociology and Political Science (Q1)";"Medicine; Social Sciences"
186;5600155551;"International Political Sociology";journal;"17495687, 17495679";"Oxford University Press";No;No;0,923;Q1;58;30;70;1997;174;69;2,14;66,57;51,43;7;10;United Kingdom;Western Europe;"Oxford University Press";"2008-2025";"Sociology and Political Science (Q1)";"Social Sciences"
187;21100886530;"Area Development and Policy";journal;"23792957";"Routledge";No;No;0,919;Q1;26;25;78;1643;222;68;3,14;65,72;34,78;3;19;United Kingdom;Western Europe;"Routledge";"2016-2025";"Geography, Planning and Development (Q1); Nature and Landscape Conservation (Q1); Public Administration (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Environmental Science; Social Sciences"
188;5600157642;"Public Policy and Administration";journal;"09520767, 17494192";"SAGE Publications Ltd";No;No;0,916;Q1;50;8;61;537;237;60;4,32;67,13;42,86;5;3;United Kingdom;Western Europe;"SAGE Publications Ltd";"1986-2025";"Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
189;5700166813;"Journal of Chinese Political Science";journal;"10806954, 15557898";"Springer Netherlands";No;No;0,906;Q1;33;30;89;1991;283;89;3,62;66,37;45,45;2;17;Netherlands;Western Europe;"Springer Netherlands";"1995-1996, 2003, 2008-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
190;19786;"Utilities Policy";journal;"09571787";"Elsevier B.V.";No;No;0,906;Q1;68;95;312;5996;1277;307;4,04;63,12;27,27;20;59;United Kingdom;Western Europe;"Elsevier B.V.";"1990-1995, 1997-2001, 2003-2025";"Business and International Management (Q1); Development (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2); Transportation (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
191;100147330;"World Englishes";journal;"08832919";"Wiley-Blackwell";No;No;0,904;Q1;68;38;147;1836;282;140;2,34;48,32;61,54;1;2;United States;Northern America;"Wiley-Blackwell";"1981-2025";"Anthropology (Q1); Linguistics and Language (Q1); Sociology and Political Science (Q1)";"Social Sciences"
192;5600153974;"Policing and Society";journal;"10439463";"Routledge";No;No;0,901;Q1;56;71;216;4983;634;210;2,68;70,18;53,53;13;22;United Kingdom;Western Europe;"Routledge";"1990-2003, 2005-2025";"Law (Q1); Sociology and Political Science (Q1)";"Social Sciences"
193;27446;"Youth and Society";journal;"15528499, 0044118X";"SAGE Publications Inc.";No;No;0,901;Q1;78;68;182;3780;504;182;2,52;55,59;67,29;0;39;United States;Northern America;"SAGE Publications Inc.";"1969-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
194;15725;"Voluntas";journal;"09578765, 15737888";"Springer New York";No;No;0,898;Q1;71;101;291;5771;780;289;2,41;57,14;56,28;13;35;United States;Northern America;"Springer New York";"1990-2025";"Business and International Management (Q1); Geography, Planning and Development (Q1); Public Administration (Q1); Sociology and Political Science (Q1); Strategy and Management (Q2)";"Business, Management and Accounting; Social Sciences"
195;21100904307;"European Journal of International Security";journal;"20575637, 20575645";"Cambridge University Press";No;No;0,897;Q1;23;28;61;2236;123;60;2,02;79,86;34,78;12;10;United Kingdom;Western Europe;"Cambridge University Press";"2016-2025";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)";"Social Sciences"
196;19700188160;"Journal of Comparative Policy Analysis: Research and Practice";journal;"13876988, 15725448";"Routledge";No;No;0,897;Q1;39;31;109;1561;392;104;3,97;50,35;32,86;5;9;United States;Northern America;"Routledge";"1998-2025";"Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
197;70397;"Evaluation";journal;"13563890, 14617153";"SAGE Publications Ltd";No;No;0,893;Q1;61;30;94;1616;239;81;1,78;53,87;51,85;10;6;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2025";"Development (Q1); Sociology and Political Science (Q1)";"Social Sciences"
198;25561;"Futures";journal;"00163287";"Elsevier Ltd";No;No;0,889;Q1;105;129;346;9224;1337;344;3,40;71,50;43,84;31;63;United Kingdom;Western Europe;"Elsevier Ltd";"1968-2025";"Business and International Management (Q1); Development (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
199;19400158810;"Child Indicators Research";journal;"18748988, 1874897X";"Springer Netherlands";No;No;0,887;Q1;52;107;326;6713;910;325;2,77;62,74;56,33;11;50;Netherlands;Western Europe;"Springer Netherlands";"2010-2025";"Health (social science) (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)";"Psychology; Social Sciences"
200;5700161512;"Journal of Consumer Culture";journal;"14695405, 17412900";"SAGE Publications Ltd";No;No;0,886;Q1;71;53;111;2935;319;108;3,05;55,38;55,66;8;16;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2025";"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2); Marketing (Q2); Social Psychology (Q2)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Psychology; Social Sciences"
201;12104;"British Journal of Sociology of Education";journal;"14653346, 01425692";"Taylor and Francis Ltd.";No;No;0,884;Q1;93;69;224;4191;557;220;2,45;60,74;59,66;8;34;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2025";"Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
202;5800175970;"Leadership";journal;"17427150, 17427169";"SAGE Publications Ltd";No;No;0,870;Q1;61;39;125;2620;399;120;3,46;67,18;48,51;4;9;United Kingdom;Western Europe;"SAGE Publications Ltd";"2005-2025";"Sociology and Political Science (Q1); Strategy and Management (Q2)";"Business, Management and Accounting; Social Sciences"
203;19700188900;"Social Psychology";journal;"18649335, 21512590";"Hogrefe Publishing GmbH &amp; Co. KG";No;No;0,866;Q1;52;32;102;1565;241;100;1,71;48,91;35,78;0;6;Germany;Western Europe;"Hogrefe Publishing GmbH &amp; Co. KG";"2006, 2008-2025";"Arts and Humanities (miscellaneous) (Q1); Sociology and Political Science (Q1); Psychology (miscellaneous) (Q2); Social Psychology (Q2)";"Arts and Humanities; Psychology; Social Sciences"
204;19700181316;"Journal of Public Relations Research";journal;"1062726X, 1532754X";"Routledge";No;No;0,861;Q1;67;16;56;1271;141;44;2,20;79,44;66,67;0;1;United Kingdom;Western Europe;"Routledge";"1992-1995, 2004, 2007-2025";"Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
205;16842;"Qualitative Sociology";journal;"01620436, 15737837";"Springer New York";No;No;0,858;Q1;69;25;89;1712;260;87;1,95;68,48;42,11;1;10;United States;Northern America;"Springer New York";"1978-2025";"Sociology and Political Science (Q1)";"Social Sciences"
206;100147345;"Journal of Sociolinguistics";journal;"13606441, 14679841";"Wiley-Blackwell Publishing Ltd";No;No;0,855;Q1;68;36;104;2053;227;92;2,07;57,03;52,63;1;4;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2004-2025";"History and Philosophy of Science (Q1); Linguistics and Language (Q1); Philosophy (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
207;5600152909;"Capital and Class";journal;"03098168";"SAGE Publications Inc.";No;No;0,851;Q1;45;25;91;1698;246;89;2,68;67,92;25,71;3;6;United Kingdom;Western Europe;"SAGE Publications Inc.";"1977-2024";"History (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
208;18718;"Time and Society";journal;"0961463X, 14617463";"SAGE Publications Ltd";No;No;0,846;Q1;57;36;159;1471;343;152;1,96;40,86;39,22;0;7;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2025";"Sociology and Political Science (Q1)";"Social Sciences"
209;25675;"Journal of Early Adolescence";journal;"15525449, 02724316";"SAGE Publications Inc.";No;No;0,840;Q1;85;44;161;2843;387;160;2,11;64,61;68,07;3;15;United States;Northern America;"SAGE Publications Inc.";"1981-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2); Life-span and Life-course Studies (Q2)";"Psychology; Social Sciences"
210;12072;"International Journal of Educational Development";journal;"07380593";"Elsevier B.V.";No;No;0,839;Q1;77;98;371;5514;921;356;2,49;56,27;44,02;18;63;United Kingdom;Western Europe;"Elsevier B.V.";"1981-2025";"Development (Q1); Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
211;19600163400;"Social Work";journal;"15456846, 00378046";"Oxford University Press";No;No;0,837;Q1;85;44;140;1651;310;105;1,94;37,52;70,00;2;26;United States;Northern America;"Oxford University Press";"1956-2025";"Social Work (Q1); Sociology and Political Science (Q1); Medicine (miscellaneous) (Q2)";"Medicine; Social Sciences"
212;21101065044;"Sustainable Futures";journal;"26661888";"Elsevier B.V.";Yes;No;0,833;Q1;24;35;59;2422;366;59;6,32;69,20;37,07;3;24;United Kingdom;Western Europe;"Elsevier B.V.";"2019-2025";"Sociology and Political Science (Q1); Management of Technology and Innovation (Q2); Management Science and Operations Research (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
213;21100812569;"Journal of Social and Political Psychology";journal;"21953325";"PsychOpen";Yes;Yes;0,832;Q1;38;42;122;2515;250;114;1,72;59,88;48,00;5;14;Germany;Western Europe;"PsychOpen";"2013-2024";"Sociology and Political Science (Q1); Applied Psychology (Q2); Social Psychology (Q2)";"Psychology; Social Sciences"
214;23421;"Political Theory";journal;"00905917, 15527476";"SAGE Publications Inc.";No;No;0,832;Q1;73;38;102;1528;113;88;1,15;40,21;34,29;1;7;United States;Northern America;"SAGE Publications Inc.";"1973-2025";"History (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
215;21542;"Urban Review";journal;"15731960, 00420972";"Springer Netherlands";No;No;0,832;Q1;59;32;120;2193;273;118;2,12;68,53;59,41;3;16;Netherlands;Western Europe;"Springer Netherlands";"1967-1976, 1978-2025";"Education (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
216;22197;"PS - Political Science and Politics";journal;"10490965, 15375935";"Cambridge University Press";No;No;0,830;Q1;81;184;445;3039;585;398;1,47;16,52;47,11;0;38;United Kingdom;Western Europe;"Cambridge University Press";"1968-2025";"Sociology and Political Science (Q1)";"Social Sciences"
217;17600155227;"Asian Business and Management";journal;"14724782, 14769328";"Palgrave Macmillan Ltd.";No;No;0,824;Q1;36;33;73;2774;330;61;4,24;84,06;33,72;2;9;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2008-2025";"Business and International Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1); Strategy and Management (Q2)";"Business, Management and Accounting; Social Sciences"
218;15496;"International Journal of Intercultural Relations";journal;"01471767";"Elsevier Ltd";No;No;0,824;Q1;107;118;272;7764;796;267;2,79;65,80;56,27;6;37;United Kingdom;Western Europe;"Elsevier Ltd";"1977-2025";"Business and International Management (Q1); Sociology and Political Science (Q1); Social Psychology (Q2)";"Business, Management and Accounting; Psychology; Social Sciences"
219;20537;"Journal of Behavioral Decision Making";journal;"08943257, 10990771";"John Wiley and Sons Ltd";No;No;0,822;Q1;96;37;141;2471;387;141;2,38;66,78;36,07;2;2;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1988-2025";"Arts and Humanities (miscellaneous) (Q1); Sociology and Political Science (Q1); Applied Psychology (Q2); Decision Sciences (miscellaneous) (Q2); Strategy and Management (Q2)";"Arts and Humanities; Business, Management and Accounting; Decision Sciences; Psychology; Social Sciences"
220;25822;"Society and Natural Resources";journal;"08941920, 15210723";"Taylor and Francis Ltd.";No;No;0,820;Q1;105;75;270;4476;826;252;2,57;59,68;51,95;6;60;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-2025";"Development (Q1); Environmental Science (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Environmental Science; Social Sciences"
